channel,statistic,class_1,class_2,cohens_d,effect_size
0,mean,Noise,Up,-0.1421011530257781,small
0,mean,Noise,Down,-0.15919332996271787,small
0,mean,Noise,Left,-0.18636764580203496,small
0,mean,Noise,Right,-0.17350878919052937,small
0,mean,Up,Down,-0.013730266914053223,small
0,mean,Up,Left,-0.04186477937475215,small
0,mean,Up,Right,-0.02895451321272588,small
0,mean,Down,Left,-0.029446173454735415,small
0,mean,Down,Right,-0.015994720874972907,small
0,mean,Left,Right,0.013401879978084633,small
0,std,Noise,Up,0.14886628825018014,small
0,std,Noise,Down,0.1592108921810735,small
0,std,Noise,Left,0.14137507964870075,small
0,std,Noise,Right,0.19325279179902782,small
0,std,Up,Down,0.010339894120278576,small
0,std,Up,Left,-0.006303838435041607,small
0,std,Up,Right,0.04450990588809602,small
0,std,Down,Left,-0.01646410922042869,small
0,std,Down,Right,0.03413695833397347,small
0,std,Left,Right,0.050069902215520726,small
0,range,Noise,Up,-0.5889956667186971,medium
0,range,Noise,Down,-0.689154472242472,medium
0,range,Noise,Left,-0.5377351079231165,medium
0,range,Noise,Right,-0.4461729048112581,small
0,range,Up,Down,-0.11290861066488814,small
0,range,Up,Left,0.05409544877591012,small
0,range,Up,Right,0.15427614442453422,small
0,range,Down,Left,0.16634407484895947,small
0,range,Down,Right,0.26599703017841025,small
0,range,Left,Right,0.09982694210033523,small
0,ssim,Noise,Up,0.19944644701830813,small
0,ssim,Noise,Down,0.12227962028887834,small
0,ssim,Noise,Left,0.04268763615466679,small
0,ssim,Noise,Right,-0.028751619594467374,small
0,ssim,Up,Down,-0.0781269877563001,small
0,ssim,Up,Left,-0.14968826714923067,small
0,ssim,Up,Right,-0.22797923679329415,small
0,ssim,Down,Left,-0.07499037054485116,small
0,ssim,Down,Right,-0.15021025902270035,small
0,ssim,Left,Right,-0.06907474369910928,small
1,mean,Noise,Up,-0.21288005688501668,small
1,mean,Noise,Down,-0.19076886784576277,small
1,mean,Noise,Left,-0.21996672956809665,small
1,mean,Noise,Right,-0.11204889080805935,small
1,mean,Up,Down,0.02356616792981563,small
1,mean,Up,Left,-0.005701450767030265,small
1,mean,Up,Right,0.09357669024345239,small
1,mean,Down,Left,-0.02965740322213899,small
1,mean,Down,Right,0.0719906547800419,small
1,mean,Left,Right,0.09992201910989056,small
1,std,Noise,Up,0.06586229370702121,small
1,std,Noise,Down,0.17011403573151154,small
1,std,Noise,Left,0.11648220743661965,small
1,std,Noise,Right,0.11798828744083711,small
1,std,Up,Down,0.11773929522753158,small
1,std,Up,Left,0.057363265147585975,small
1,std,Up,Right,0.05928061113721803,small
1,std,Down,Left,-0.053471414956500006,small
1,std,Down,Right,-0.0600349582791688,small
1,std,Left,Right,-0.002298005616410368,small
1,range,Noise,Up,-0.8215107712908628,large
1,range,Noise,Down,-0.545720652833095,medium
1,range,Noise,Left,-0.6421099873067925,medium
1,range,Noise,Right,-0.45155331892062156,small
1,range,Up,Down,0.30969204806792,small
1,range,Up,Left,0.19283423083742932,small
1,range,Up,Right,0.4062080854974231,small
1,range,Down,Left,-0.11121034391598013,small
1,range,Down,Right,0.10169602445584489,small
1,range,Left,Right,0.20937718334728042,small
1,ssim,Noise,Up,0.41837733616151185,small
1,ssim,Noise,Down,0.35164767822754367,small
1,ssim,Noise,Left,0.2785780703596904,small
1,ssim,Noise,Right,0.2206011586678898,small
1,ssim,Up,Down,-0.08522932690740365,small
1,ssim,Up,Left,-0.17026367760710506,small
1,ssim,Up,Right,-0.25406713783088436,small
1,ssim,Down,Left,-0.0882424150722066,small
1,ssim,Down,Right,-0.1694634271882662,small
1,ssim,Left,Right,-0.07585907620777325,small
2,mean,Noise,Up,-0.21175441210000207,small
2,mean,Noise,Down,-0.255632045326674,small
2,mean,Noise,Left,-0.1699061718932815,small
2,mean,Noise,Right,-0.15558205150545742,small
2,mean,Up,Down,-0.040172160154911894,small
2,mean,Up,Left,0.038563908674898444,small
2,mean,Up,Right,0.049173527698963215,small
2,mean,Down,Left,0.07869966786199026,small
2,mean,Down,Right,0.08843432301392104,small
2,mean,Left,Right,0.011287294402277147,small
2,std,Noise,Up,0.06201234255765626,small
2,std,Noise,Down,0.039736219385055616,small
2,std,Noise,Left,-0.02583057577750093,small
2,std,Noise,Right,0.043380123137685744,small
2,std,Up,Down,-0.022816999491388264,small
2,std,Up,Left,-0.09455508124040124,small
2,std,Up,Right,-0.01990340451066251,small
2,std,Down,Left,-0.0695989153445582,small
2,std,Down,Right,0.003356115050098715,small
2,std,Left,Right,0.07470062975417628,small
2,range,Noise,Up,-0.8211194328881325,large
2,range,Noise,Down,-0.5675129546078874,medium
2,range,Noise,Left,-0.6052839444409568,medium
2,range,Noise,Right,-0.3062587636327584,small
2,range,Up,Down,0.28035186387555744,small
2,range,Up,Left,0.24691520269081696,small
2,range,Up,Right,0.574648036587069,medium
2,range,Down,Left,-0.03727267618634042,small
