participant,session,label,label_name,channel,mean_mean,mean_std,std_mean,std_std,range_mean,range_std,ssim_mean,ssim_n,experiment_count,region_count
0,0,0,Noise,0,0.346618935986205,0.03329983572503391,0.19566103326880302,0.006669293570632734,0.8987672203090763,0.04818956860626236,0.10530799782010965,233,5,298
0,0,0,Noise,1,0.4015749807966526,0.03102873122813844,0.19044848380319304,0.009203563036031323,0.891340965916568,0.0395847168654015,0.135878117758541,233,5,298
0,0,0,Noise,2,0.3693132606935254,0.040694111438319316,0.19925944966373446,0.010096919412711727,0.9254805917843738,0.048041279466783854,0.09828676910962303,233,5,298
0,0,0,Noise,all,0.3725023924921277,0.03341983926088562,0.19512298891191016,0.00468769338031205,0.9051962593366728,0.023977901624178715,,0,5,298
0,0,1,Up,0,0.3461437652806641,0.030221969991117557,0.19670974202790617,0.004545206960244277,0.9133166442663984,0.04142103254095281,0.12326702645490145,77,5,77
0,0,1,Up,1,0.40433803109166017,0.029776170352445182,0.18981953908375016,0.008327655937213815,0.9158135981665393,0.030764123551883373,0.13203927057060577,77,5,77
0,0,1,Up,2,0.37076778189700293,0.039749924386028396,0.2025646667124664,0.0070719261695914165,0.9388806693796663,0.04186674263164184,0.1087117317480051,77,5,77
0,0,1,Up,all,0.37374985942310907,0.03210354726653703,0.19636464927470756,0.0032850999708163406,0.9226703039375347,0.01855491221793005,,0,5,77
0,0,2,Down,0,0.3347664917422616,0.03269123781737352,0.19467306714882654,0.004225009272332394,0.931215121889849,0.03768797294456837,0.1345694656011565,76,5,77
0,0,2,Down,1,0.39701199895287254,0.026846282669444166,0.18814664104205284,0.004638141572042935,0.9175961293608352,0.02603990501727786,0.14842852722118102,76,5,77
0,0,2,Down,2,0.3652678594452054,0.040423805791385985,0.19904584299133624,0.008270865463786487,0.9272347667272335,0.04515639044725813,0.1230009483881053,76,5,77
0,0,2,Down,all,0.3656821167134465,0.03249401596368982,0.1939551837274052,0.0032800530146394665,0.925348672659306,0.021300294563062785,,0,5,77
0,0,3,Left,0,0.3480909974166501,0.034551308783045,0.19700807119565505,0.005577751635119324,0.957288379006996,0.03860967075323628,0.13440559923119805,77,5,77
0,0,3,Left,1,0.4010168042610867,0.03349731768398755,0.19416770817854767,0.0044777435094072275,0.9361853832442069,0.04285316134423151,0.16262251371524275,77,5,77
0,0,3,Left,2,0.36665896918624435,0.03806569473079415,0.19552493221970418,0.009538926750383274,0.9153459868155251,0.043270399230166574,0.11241103280718483,77,5,77
0,0,3,Left,all,0.3719222569546604,0.0340419107595998,0.19556690386463563,0.0035523188616745217,0.9362732496889092,0.019975836185818222,,0,5,77
